"","text","score","klasifikasi"
"1","my husband just told me he has a crush on someone he met at work he s worked from home since march   ",1,"Positif"
"2","i work from home so that s all i do  ",1,"Positif"
"5","valentine s day gifts for couples who work from home together",1,"Positif"
"6","yeah i work from home",1,"Positif"
"7","when i got home from work my mom asked if i heard what happened and i said yeah and then she mentioned ",1,"Positif"
"8","people applied to the state of hawaii s remote work program people applied to get a free trip to hawai i to wor ",2,"Positif"
"13","not well he hasn t been inside a classroom for almost a year he goes to a day camp for distance lea ",1,"Positif"
"16","i watched it again when i got home from work",1,"Positif"
"18","stop staring at the clock every day it s time for a new career follow us to view jobs with titles like lead prod ",2,"Positif"
"19","every time i come home early from work the first thing both of my parents say is oh my god did you get fired  ",1,"Positif"
"23","he bounces like he s been waiting at the door for a glimpse of you coming home from work",2,"Positif"
"27","i came home from work to find my wife bought me this   ",1,"Positif"
"29","hey yall so i m building up ig so i can work from home and i have my first paid post and it s a big deal to me lol so ",1,"Positif"
"30","does this job require you to work from home ask people ss name address birthdate phone number and t ",1,"Positif"
"31","discover the best remote jobs to work from home   ",2,"Positif"
"33","i hate that on days i don t work i make dinner for everyone so no one comes home from work hungry but on days that ",1,"Positif"
"34","they absolutely should not get the fuckin vaccine if you work from home first while most are out here e ",1,"Positif"
"35","learning lessons from lockdown  and staying at home work studies  at this point i assume once net neutrality comes into law a ",1,"Positif"
"36","work from home",1,"Positif"
"40","i m tipsy too ending the virtual work from home day and my glasses are off  much love everyone  ",2,"Positif"
"41","he s so cool tho i came to work with a headache and i told him to go home i m good for the rest of the night he ",2,"Positif"
"43","don t allow corona virus stop you from working you can still work from home and make good income for you ",1,"Positif"
"44","the moment i get home from work     ",1,"Positif"
"45","me to me everyday on my way home from work     ",1,"Positif"
"46","don t allow corona virus stop you from working you can still work from home and make good income for yourself and y ",1,"Positif"
"47","don t allow corona virus stop you from working you can still work from home and make good income for your ",1,"Positif"
"48","development is a great field to work in for many reasons but one of my favourites is that you can literally work from anywh ",3,"Positif"
"50","good i am a big fan of joshuas and think this additio ",1,"Positif"
"51","i work from home on a laptop with a touchscreen and aggressively affectionate cats so yeah learne ",2,"Positif"
"52","faster maxbit internet speeds make it possible for staff to work from home while on business or sales trips or fr ",2,"Positif"
"53","don t allow corona virus stop you from working you can still work from home and make good income for yourself ",1,"Positif"
"56","there s a package waiting on me literally everyday when i come home from work lol",1,"Positif"
"57","wanted to go for a run but it started raining on the way home from work so i m just gonna take that as a sign from god not to     ",1,"Positif"
"58","i ve spent my phd learning what turns out to be work from home friendly science i also incessantly keep notes amp links   s ",1,"Positif"
"59","the head of yahoo installing a nursery in her office while telling all the other working parents that they can t work from hom ",1,"Positif"
"60","when my your man texts you for your food order as he s on his way home from work gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt",1,"Positif"
"63","no stream tonight i barley got any sleep last night and i m definitely feeling it will be pretty much heading str ",1,"Positif"
"65","the management at work are just ace the gm told us all that because we might be feeling down through these difficu ",1,"Positif"
"66","hmu if you looking for a job hr ot customer service financial rep it s work from home till june then bacc in office ",1,"Positif"
"69","i have been work since am i am currently an hour away from being home and i already only have hours until i ",1,"Positif"
"70","you know there are people that can now work from home and last year in lockdown flew out to the caribb ",1,"Positif"
"73","let me get this straight   mps earn k a year get subsidised food amp drinks at work can put their mortgage on their ",1,"Positif"
"76","my wife and i both work from home as do many of our neighbors those that don t home school their children or are ",1,"Positif"
"78","i have friends in the banking industry some are saying the competitors are offering permanent work fro ",1,"Positif"
"80","as we continue to work from home you may be finding it difficult to perfect your work life balance   here are some things ",2,"Positif"
"82","just buy the twats a bag of toy cars and let them work from home",1,"Positif"
"83","this is progress but for the people at home i hear from every day the work isn t done until the shot is in their arm w ",2,"Positif"
"84","   stay at home protect the nhs save lives      please follow government advice only travel for work if you cannot work ",3,"Positif"
"86","hello welcome home from work thank you for joining us we need to fund this incredible project please and thank you",5,"Positif"
"87","this was waiting for me when i got home from work",1,"Positif"
"88","assemble it now for all our sakes so we can all go back to the office i say as i work at a hospital ",1,"Positif"
"89","compared to the first this one was so easy finished in an hour on my commute home from work  ",2,"Positif"
"90","here in northwest pa it s pouring rain amp going down to the s overnight glad i work from home",2,"Positif"
"91","freelance recruiter   work from home   girls   female only",1,"Positif"
"92","yeah i edited the game was saving bc my bf got home from work and we were gonna play some cod for ",1,"Positif"
"94","when my dad would come home from work i knew i had to get my ass up from his chair     ",1,"Positif"
"96","do you remember when commercial property owner s gameshow host hologram and anthropomorphic oil slick richard tice  ",1,"Positif"
"98","when we buy products we help strengthen our economy and create jobs at home i applaud president biden s ",1,"Positif"
"99","it took me an hour amp a half to get home when my usual commute from work is min dallas me please",1,"Positif"
"101","continue to work from home hybrid working happy working day to you all   ",2,"Positif"
"102","and in the mean time there is not enough bandwidth to effectively work from home in rural areas just outside of ottawa",3,"Positif"
"103","why do my cats just sleep all day    like helllo i m home from work don t you miss me   ",1,"Positif"
"104","work from home day   ",1,"Positif"
"107","sweeeet i get to work from home the rest of the week thank you otitis media fever and covid rules",1,"Positif"
"108","even when rangers were cup contenders and knicks couldn t buy a win   finding them on the radio ",1,"Positif"
"109","came home from work and shoveled the driveway now i m hopping in the shower stream next tweet   ",1,"Positif"
"110","i just got fry sauce all over my work desk why did anyone let me work from home",2,"Positif"
"111","how to make the return home from work even better",2,"Positif"
"112","during a pandemic just changed how they bill for wifi we re forced to work and do school work from home a ",2,"Positif"
"113","furlough money i m all right jack and many of the middle classes who voted for him will be able to w ",1,"Positif"
"116","i m ready to come home from work to a home cooked meal and my babe just gotta find one",2,"Positif"
"117","work from home     ",1,"Positif"
"118","wife brought home food for kids from there last night after work i ll have to tap into one of those soon been a while",1,"Positif"
"119","masks are so great literally no one on the subway could tell i was bawling my fucking face off on the way home from work tonight yay",2,"Positif"
"120","boutta start making beats every night i get home from work just for fun",2,"Positif"
"123","i love it when it s snowing on my way home from work not   ",2,"Positif"
"124","my work from home posture has me like",2,"Positif"
"127","be super grateful right now to i the educators who work extra hard to educate the next generation ii the essential work ",4,"Positif"
"128","check out  s home work outs   ",1,"Positif"
"130","list while you work from home",1,"Positif"
"131","came home from work amp met my room clean amp my bf laying in my bed    ",2,"Positif"
"132","okokok time to go work out and then make dinner so kat can have dinner when shes home from wrok sooon",1,"Positif"
"136","i reply to all my good morning texts at night when i get home from work",2,"Positif"
"138","anyway does my best friend want to get home from work already and pay fucking attention to me   ",1,"Positif"
"139","just got home from work and this dolph pumping me up for the gym",1,"Positif"
"141","i might have something like that i ll need to check on my bits box when i get home from work though",2,"Positif"
"142","just got home from work and yeah i ll give it a go       helping couple people out      ",2,"Positif"
"143","     i havent even had a chance to listen to the album yet i just got home from work",1,"Positif"
"145","australia the tribez retweet to win food poisoning air vehicles fart okcupid work from home facebook went filet mignon c ",2,"Positif"
"146","i know the left leaning work from home wonks are all really proud of themselves for supporting a minimum wage in but ",3,"Positif"
"147","oh now it s not working to work from home mmmkay",1,"Positif"
"148","i get home from work around like if you want me in for the later sets",2,"Positif"
"150","people applied to the state of hawaii s remote work program people applied to get a free trip to haw ",2,"Positif"
"151","fifth harmony ty dolla ign work from home feat ty dolla ign",3,"Positif"
"155","what i don t understand is how work from home by fifth harmony didn t go number one through all of this",2,"Positif"
"156","got home from work saw it was and took a jog here here good sir",2,"Positif"
"157","first work from home now wait in line at home",1,"Positif"
"158","hiii and would love to hear by on i d be jamming lik ",1,"Positif"
"159","or be like hey here is x amount of money from this date to this date we are all quarantining noth ",1,"Positif"
"160","i have to work overtime again but genuinely don t have the resilience to do it at the office so work from home party tonight for me",2,"Positif"
"161","in other news my boyfriend is coming home from work today with my shein order   ",1,"Positif"
"163","a we work from home and so does my mom so we will watch the game with her     ",1,"Positif"
"164","got home at about am this morning from work i get at least the next days off work with pay and a covid test n ",2,"Positif"
"166","decided to pick up a booster pack on the way home from work at target i am glad i did one pack magic",3,"Positif"
"167","work from home data entry jobs part time jobs online jobs data entry work from home jobs typing job",2,"Positif"
"168","a therapist i worked with opted to continue to work after giving birth prematurely so she could save ",2,"Positif"
"169","between work and school guess how many assignments i got done today working from home",1,"Positif"
"170","how was stokoe hours late for work today when he works from home   ",2,"Positif"
"171","they have zero exposure they are fully paid to work from home you cannot be ",1,"Positif"
"173","i seriously came home from work and decided to shovel all the parking spots in front of our town house and for what",1,"Positif"
"174","still available   work it x and postcard johnny ten hendery jisung group    s ten yangyang  from home taeil haechan chenle",2,"Positif"
"179","lol it was not my finest moment    thank goodness i work from home since covid the raccoon look is not ",4,"Positif"
"182","y all stay home from work when it snows but don t stay away from the club in a pandemic",1,"Positif"
"183","my job ain t letting us work from home and i don t like that       ",2,"Positif"
"184","hey yall so i m building up ig so i can work from home and i have my first paid post and it s a big deal to me lol ",1,"Positif"
"186","work amp school from home is actually a blessing",2,"Positif"
"187","literally me school counselling from home was the best for that reason being back at work and commuting ",2,"Positif"
"188","the moon shining bright over downtown winnipeg on my way home from work today",2,"Positif"
"190","thank god i work sort of kinda from home family owned business so it s just a walk out to another s ",2,"Positif"
"191","work from home for the firstime this is firstime i experienced self quarantine after coming into close contact wi ",1,"Positif"
"192","coming home from work amp cooking dinner feeling like a whole assss se ora",2,"Positif"
"195","dog walks work from home pho hong with honestly a pretty perfect birthday",3,"Positif"
"196","oh wfh work out from home",1,"Positif"
"197","yeah i ll try i m working from home but still some people work at am like if i would answer the ",2,"Positif"
"200","pot holders custom kitchen gifts kitchen linen buffalo check work from home marshmellows cooking housewarmin ",1,"Positif"
"201","awesome just got back home from work getting myself ready for that code   ",3,"Positif"
"202","me we would like to work from home my boss",2,"Positif"
"206","waiting for my boyfriend to get home from work when i haven t seen him in a min i get how pups feel now lol           ",1,"Positif"
"208","wait until they figure out that not only can they save money by having people do the work from home and ",1,"Positif"
"209","if i had somewhere to run to permanent work from home etc then i d take it otherwise where are they ",1,"Positif"
"210","the voice to text thing was somehow left on and transcribed me in a text message pretty perfectly captures my work from ho ",3,"Positif"
"212","ive been doing so much better at history and english lang lit ever since we had to do work from home uh",2,"Positif"
"213","microsoft shares surge to new high on work from home revenue boost  ",2,"Positif"
"214","the solution when the pandemic lifts are local offices where work from home workers can congregate get tech supp ",1,"Positif"
"215","my casual typewriter is in my campus office        clearly i m failing at work from home",1,"Positif"
"216","be super grateful right now to i the educators who work extra hard to educate the next generation ii the essenti ",3,"Positif"
"217","an hour work from home with benefits amp bonuses      that s the kinda shit i like to hear      ",3,"Positif"
"218","one positive from the pandemic is that we got a home gym and it is ideal i can work out in silence without talking ",3,"Positif"
"220","cw food poultry   love crockpot cooking came home from work to perfectly cooked chicken breasts added a left ",3,"Positif"
"222","that work from home life allows you to dress like the pros not a bad gig haha",2,"Positif"
"223","shares surge to new high on work from home revenue boost is now trending on",2,"Positif"
"225","i m glad charlie was able to get the week off from work and glad he ll be able to return next week so won t miss mu ",3,"Positif"
"226","because i work from home of course ima be in the house",1,"Positif"
"228","s day gifts for couples who work from home together",1,"Positif"
"229","y all my wife would always say moms home when i got back from work so that s what my son would call me  moms home  ",1,"Positif"
"230","strategies for a healthy work life balance when you",2,"Positif"
"231","this is the answer being paraded from above after almost a full year of politicians pretending to work at ",1,"Positif"
"232","new bride new monogram and no one wears it better than kristel she is sporting her soon to be ne ",1,"Positif"
"234","mogget is adjusting to the work from home life quite nicely why do you ask",2,"Positif"
"235","i m just nice and i work from home so i can t really check my tone of voice anywhere",2,"Positif"
"236","yes a genuine  influencer  would work harder to create new and original content from the safe ",3,"Positif"
"238","a black camaro pulled up on me today when i was drivin home from work there was like girls in this door ",2,"Positif"
"239","analysts expect apple to grow this year as work from home activities boost sales to mac",2,"Positif"
"240","just made it home from work let me start cleaning up",1,"Positif"
"241","everyone on ssdi should have been prioritized for vaccines before fit year olds who work from home for figures but what do i know",1,"Positif"
"242","it s really remarkable that got four guys from outside the picture into the usmnt in one pandemic trun ",1,"Positif"
"243","moral of the story if you want to become a tech billionaire don t work from your home move into your garage",1,"Positif"
"244","in the present day you re able to connect with so many exceptional potential buyers fascinated with your main work ",2,"Positif"
"245","isn t work from home great   ",2,"Positif"
"246","how s everybody doing working from home i ve been thinking of ways i can balance work and life while living in a s ",1,"Positif"
"248","you are modelling that the privileged can go out for nonessential reasons on a photo op trip to the airport in ",1,"Positif"
"249","not my car sliding all the way home from work       ",1,"Positif"
"250","just got home from work",1,"Positif"
"251","since my wife and i work from home my creative place hasn t changed in years it s taken tim ",2,"Positif"
"252","the hardest part about moving during this pandemic is establishing good  work from home  routine it takes a solid ",3,"Positif"
"253","australia the tribez retweet to win food poisoning air vehicles fart okcupid work from home facebook went filet mi ",2,"Positif"
"255","i love it as long as i don t have to drive in it fill up the bird squirrel feeders make ",1,"Positif"
"256","my good friend who is an iranian asylum seeker has now been waiting on his  subsistence only  allowanc ",1,"Positif"
"257","ben bartlett serving some work from home parent on zoom realness in the",1,"Positif"
"259","we homeschool and i work from home so we ve had a much easier time than most my yo daughter is re ",2,"Positif"
"260","yes i am lucky in a lot of ways can work from home remain employed have avoided covid but ev ",2,"Positif"
"261","when baby comes home from work   ",1,"Positif"
"262","at work  when i get home i m going to accomplish so much   home from work  i m going to accomplish half a thing   currently sips wine",4,"Positif"
"263","do people really come home from work and are like not greeted by a dog",2,"Positif"
"264","roomie gonna sleep all day tomorrow  me coming home from an exhausting day at work with eight more to go before ",1,"Positif"
"265","cybereason offers a new take on protecting all those work from home laptops and phones",1,"Positif"
"266","dear pals today i m helping my mum work from home    and i think you will all agree i m doing a really good job     paw wa ",3,"Positif"
"268","work from home admin for a homeschooling group drives hrs and gets covid vax in a county they don t live in bc  s ",1,"Positif"
"270","to put a fine point on it work from home and miserably try to juggle work and supervising school is going to stop being an ",2,"Positif"
"271","i work from home so i gotta get out the house at night most of the time",1,"Positif"
"272","work from home with this doggo     ",1,"Positif"
"273","   daughter kept me up from when i got home from work around am to am slept till noon  ",1,"Positif"
"274","on my way to work from home lol crosswinds tagaytay",1,"Positif"
"275","yakuza mom is almost done with work then i ll try to gather my thoughts into a twitlonger when i get home   i go ",1,"Positif"
"277","orang suruh work from home korang buat le tour de langkawi   work from home is not annual leave you should alwa ",2,"Positif"
"281","wife  honey please don t forget to buy bread when you re coming home from work and lest i forget your girlfriend chi ",1,"Positif"
"283","i got a fucking raise for my work performance last year i worked full time from home while parenting a toddler ful ",1,"Positif"
"284","ohhhh yeah we re lucky lmao it s the best thing to get home from work make dinner and watch star wars",3,"Positif"
"285","hi guys do you work from home i sell tables suitable for your work station  the office table is ft by ft by in with ",3,"Positif"
"287","i only have one charger and my phone takes priority but i need music on the way home from work",1,"Positif"
"288","top tips to work from home",2,"Positif"
"289","going directly home from a long day of work driving slow as well",1,"Positif"
"290","na i just got home from work like an hour ago it s all gravy baby",2,"Positif"
"291","wow microsoft reports revenue growth hasil dari lonjakan cloud business ramai sangat ni work from home",1,"Positif"
"292","that s why i try to get dressed even though i work from home i almost answers door in undies a few times",1,"Positif"
"293","i love getting home from work only to clock in at my second job which is apparently being my kid s bitch",1,"Positif"
"294","what a relief si dang gets to remain at home with his family amp community but much work needs to be done in making sure si  ",2,"Positif"
"295","fantastic well deserved too   seeing as we all work from home it is lovely and makes you feel bet ",4,"Positif"
"296","slept all day and stayed home from work also ordered a new phone tracking said new phone was delivered no phone ",1,"Positif"
"297","tomorrow is wednesday which means i will only have more days to work from home    i m sad because i just love it here",1,"Positif"
"298","dudes who ve been working from home since march but still traveling across the country be like  lol i don t know ho ",1,"Positif"
"299","working from home has been the hardest part of transitioning to my first dev role we work on client provided compu ",1,"Positif"
"301"," job duck is a company that hires virtual assistants to work from home full time for u s based companies     not ",1,"Positif"
"302","learning lessons from lockdown  and staying at home work studies  at this point i assume once net neutrality comes ",1,"Positif"
"303","privacy teams helped navigate the pivot to work from home",2,"Positif"
"304","osiel waited for me to come home from work to nap like does he not know i can t ever nap after work even when i sa ",3,"Positif"
"306","my dad used to tape it off and would watch it in the afternoon when he was off work i came home from school one d ",1,"Positif"
"309","also known as best work from home lunches",2,"Positif"
"310","a man hit on me at my job today  i work from home",1,"Positif"
"314","work from home data entry work from home jobs online jobs data entry jobs part time jobs typing job",2,"Positif"
"315","aight i ll download it when i get home from work send me your inv",1,"Positif"
"317","not yet i haven t made it home from work yet i m on my way now i had to stop by the drug store for ",1,"Positif"
"318","question does someone get a snow day off of work if they have been working from home since march",1,"Positif"
"321","excitement is brewing at interchange hq as we slowly return to the office we ve got our covid safe plan physical ",1,"Positif"
"322","fascinating look into how companies have embraced not just work from home but work from anywhere",3,"Positif"
"323","the look on my boys face when i get home from work is the best feeling ever   ",2,"Positif"
"324","same here ever since starting work from home",1,"Positif"
"325","does anyone else get home from work and just sit in a chair for what feels like hours only to realize its been like minutes",3,"Positif"
"326","a guide to everything you need to work from home according to product reviewers",1,"Positif"
"328","from home chenle work it johnny work it ten",2,"Positif"
"329","i work in morris county although largely working from home since march s ",1,"Positif"
"331","weeks of vacation time from work this year how does one take vacation time off when we work from home and can t go anywhere frik",2,"Positif"
"332","don t go to the pub but they re still open  stay at home but the airports are open  work f ",1,"Positif"
"334","y all just got called back we ve been back from jan th      they won t allow us to work from home",2,"Positif"
"336","stop thinking while i m at work of when i can come home from work just to see your bright smile that just brightens ",4,"Positif"
"338","there s a lady i know who is rich but steals food from her work whole cheeses entire bunches of bananas filling ",1,"Positif"
"339","work computer switched off very diffrent working from home this time",1,"Positif"
"340","the sun wasn t even up when you were barely roused from sleep to hawks coming home late from work per usual",1,"Positif"
"341","food    what should i get for dinner on the way home from work",1,"Positif"
"342","i actually don t feel comfortable going back to work i m ok with working from home",2,"Positif"
"345","it took me a whole ass hour to get home from work    didn t even get passed rd gear",1,"Positif"
"346","in didsbury today i saw the brilliant work the and emergency services are doing to defend the area from floodi ",1,"Positif"
"347","i have kept a really strict work life balance all through this work from home era i clock in and i clock out ha ",1,"Positif"
"348","oh grand i get home from work and mum s left the key in the lock and everyone s phones are off am now stuck in the garden with beers",1,"Positif"
"350","i was so excited to find my box waiting for me when i got home from work as i took out the purchases  ",2,"Positif"
"351","sounds like in unessential work that can be done from home",2,"Positif"
"354","my grandkids are doing well on the surface amp hybrid schooling both parents working from hom ",1,"Positif"
"355","i love coming home from work to a clean cozy home my dogs always look forward to seeing me and i love getting to s ",5,"Positif"
"356","claims customer experience journey manager work from home allstate insurance company",1,"Positif"
"357","we unlocked a new work from home with your partner achievement today the significant other overheard a conversation and ask ",3,"Positif"
"358","absolutely love this view every time i head home from work",2,"Positif"
"359","im home from work now hope you re all having a good day night i ll work on videos but post tomorrow",3,"Positif"
"360","we can work from home",1,"Positif"
"361","i m torn between  i really miss snow  and   holy shit it was degrees outside when i got home from work today and that s awesome  ",1,"Positif"
"362","thank you the majority of her family live in multi generational households people are bringing it ",1,"Positif"
"363","but read the headline under s   i m and work from home i d personally be happy to give up my place in ",2,"Positif"
"364","cool lol mine was something that happened irl we got sent home from work bc of lockdown and was la ",2,"Positif"
"365","doves just hits different on the way home from work at night  ",1,"Positif"
"366","there s an interesting privilege dynamic playing out between the self righteous i m going to work from home because i m res ",5,"Positif"
"367","for those of us fortunate to work from home now is the time to refresh your work space with sturdy secondhand furn ",5,"Positif"
"369","work from home but in style",1,"Positif"
"370","i m incredibly grateful to be able to work from home right now but the fact that we re so busy making something tha ",4,"Positif"
"373","for the record i am grateful to have a job let alone one that allows me to work from home i just miss going outsi ",1,"Positif"
"374","i worked right down the hallway from sekou at turner until we all left to work from home last march  ",3,"Positif"
"375","rd week work from home    university brought back freshman students for winter qtr   ",1,"Positif"
"376","oh and the job is work from home answering emails that s literally all i would do",1,"Positif"
"377","come on bro i just at home from work and it s my rest day you couldnt come at me any other day of the week   ",1,"Positif"
"378","the shit that blows me is that no one was home it arrived a day earlier cool and i was on my way from work when ",1,"Positif"
"379","hitting work from today  ",1,"Positif"
"380","i am glad i just found out about this when i got home from work because i dont know if it wouldve been prof ",2,"Positif"
"381","something for your commute home or your move from one end of the couch to the other if you work from home the lates ",1,"Positif"
"382","work a to job that leaves you too tired to do anything when you get home and doesn t pay enough t ",1,"Positif"
"384","my boss called me to congratulate me because over this past year i m the most productive employee   lockdown suits ",2,"Positif"
