"","klasifikasi","text","score"
"1","Positif","my husband just told me he has a crush on someone he met at work he s worked from home since march   ",1
"2","Positif","i work from home so that s all i do  ",1
"3","Positif","i blame my brother s work he can t work from home and his building has crappy ventilation",0
"4","Positif","about my son who since his dad died has stepped up in so many ways he was just here helping me with ",0
"5","Positif","valentine s day gifts for couples who work from home together",1
"6","Positif","yeah i work from home",1
"7","Positif","when i got home from work my mom asked if i heard what happened and i said yeah and then she mentioned ",1
"8","Positif","people applied to the state of hawaii s remote work program people applied to get a free trip to hawai i to wor ",2
"9","Positif","boris johnson   january truly we did everything we could    august cease all this working at home ",0
"10","Negatif","this is so infuriating    the city spoke to a dozen people in all of those said they lived outside the five borou ",-1
"11","Negatif","thinking of all of the staff students and parents in schools that are home doing virtual schooling  it is challenging ",-1
"12","Negatif","most people would say tools are a poor substitute for in person collaboration and are therefore seen as a nece ",-1
"13","Positif","not well he hasn t been inside a classroom for almost a year he goes to a day camp for distance lea ",1
"14","Positif"," ",0
"15","Positif","one interesting artifact of everyone working from home is the stark divide you see between those who find social me ",0
"16","Positif","i watched it again when i got home from work",1
"17","Negatif","this is complete insanity and based on scientific data and evidence i am a teacher and i m embarras ",-1
"18","Positif","stop staring at the clock every day it s time for a new career follow us to view jobs with titles like lead prod ",2
"19","Positif","every time i come home early from work the first thing both of my parents say is oh my god did you get fired  ",1
"20","Negatif","hate when i get these bomb diy ideas then get home from work and it s dark and just not in the mood   ",-2
"21","Positif","tips for working at home with your little one   ",0
"22","Negatif","toe cheese the percentage of young adults and kids dying are lower yes however what happens wh ",-1
"23","Positif","he bounces like he s been waiting at the door for a glimpse of you coming home from work",2
"24","Positif","am meetings suck on a normal basis but during work from home lockdown they re just mean and i have one tomorrow  ",0
"25","Positif","that s the problem when work from home ni   ",0
"26","Negatif","this is so infuriating    the city spoke to a dozen people in all of those said they lived outside the five b ",-1
"27","Positif","i came home from work to find my wife bought me this   ",1
"28","Negatif","failing to reach an agreement with chicago public schools over reopening conditions this week the chicago teachers union h ",-1
"29","Positif","hey yall so i m building up ig so i can work from home and i have my first paid post and it s a big deal to me lol so ",1
"30","Positif","does this job require you to work from home ask people ss name address birthdate phone number and t ",1
"31","Positif","discover the best remote jobs to work from home   ",2
"32","Positif","walking home from the grocery store the female had several bags in each hand   she was walking ",0
"33","Positif","i hate that on days i don t work i make dinner for everyone so no one comes home from work hungry but on days that ",1
"34","Positif","they absolutely should not get the fuckin vaccine if you work from home first while most are out here e ",1
"35","Positif","learning lessons from lockdown  and staying at home work studies  at this point i assume once net neutrality comes into law a ",1
"36","Positif","work from home",1
"37","Positif","when i said mindset of don t show emotion i wasn t referring to on air i was refer ",0
"38","Negatif","i feel so sad for the seniors who live in these areas  they don t deserve to see young people drunk fucking wit ",-3
"39","Positif","on my way home from work very different from brazil   i said i wanted to move to some place colder    i missed snow   and  ",0
"40","Positif","i m tipsy too ending the virtual work from home day and my glasses are off  much love everyone  ",2
"41","Positif","he s so cool tho i came to work with a headache and i told him to go home i m good for the rest of the night he ",2
"42","Positif","quick reminder that a camera being on means others including the teacher can see the students amp their living situation ",0
"43","Positif","don t allow corona virus stop you from working you can still work from home and make good income for you ",1
"44","Positif","the moment i get home from work     ",1
"45","Positif","me to me everyday on my way home from work     ",1
"46","Positif","don t allow corona virus stop you from working you can still work from home and make good income for yourself and y ",1
"47","Positif","don t allow corona virus stop you from working you can still work from home and make good income for your ",1
"48","Positif","development is a great field to work in for many reasons but one of my favourites is that you can literally work from anywh ",3
"49","Negatif","i miss scaring finance bros on the subway by being visibly goth they re not on the subway anymore bc they get to ",-1
"50","Positif","good i am a big fan of joshuas and think this additio ",1
"51","Positif","i work from home on a laptop with a touchscreen and aggressively affectionate cats so yeah learne ",2
"52","Positif","faster maxbit internet speeds make it possible for staff to work from home while on business or sales trips or fr ",2
"53","Positif","don t allow corona virus stop you from working you can still work from home and make good income for yourself ",1
"54","Negatif","go fuck yourself   it s confirmed the school district listed it as a confirmed case ",-1
"55","Negatif","i feel so sad for the seniors who live in these areas  they don t deserve to see young people drunk fu ",-2
"56","Positif","there s a package waiting on me literally everyday when i come home from work lol",1
"57","Positif","wanted to go for a run but it started raining on the way home from work so i m just gonna take that as a sign from god not to     ",1
"58","Positif","i ve spent my phd learning what turns out to be work from home friendly science i also incessantly keep notes amp links   s ",1
"59","Positif","the head of yahoo installing a nursery in her office while telling all the other working parents that they can t work from hom ",1
"60","Positif","when my your man texts you for your food order as he s on his way home from work gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt gt",1
"61","Negatif"," he said hong kong had experienced a deteriorating security situation for or months and said the bank had been ",-1
"62","Positif","it s confirmed the school district listed it as a confirmed case of transmission t ",0
"63","Positif","no stream tonight i barley got any sleep last night and i m definitely feeling it will be pretty much heading str ",1
"64","Negatif","and the biting question ",-1
"65","Positif","the management at work are just ace the gm told us all that because we might be feeling down through these difficu ",1
"66","Positif","hmu if you looking for a job hr ot customer service financial rep it s work from home till june then bacc in office ",1
"67","Positif","it s confirmed the school district listed it as a confirmed case of transmission  ",0
"68","Negatif","thats what i used to do now i get home from work and it be dark asf outside and i just dont wanna be doing shit",-1
"69","Positif","i have been work since am i am currently an hour away from being home and i already only have hours until i ",1
"70","Positif","you know there are people that can now work from home and last year in lockdown flew out to the caribb ",1
"71","Negatif","yeah that s the common argument healthcare providers take an oath to help sick people but certai ",-1
"72","Positif","some teachers education workers live in areas without access to the necessary interne ",0
"73","Positif","let me get this straight   mps earn k a year get subsidised food amp drinks at work can put their mortgage on their ",1
"74","Positif","just remembered that my mom once told me that she listened to this song every night when she was driving home from ",0
"75","Negatif","when will and reckon with the fact that remote learning means moms disproportionately have lost ",-1
"76","Positif","my wife and i both work from home as do many of our neighbors those that don t home school their children or are ",1
"77","Positif","thanks for letting me know that huskies are the worst dogs to have if you live in an apartment or work from home ",0
"78","Positif","i have friends in the banking industry some are saying the competitors are offering permanent work fro ",1
"79","Positif","our gyms are open with restrictions mandatory masks limi ",0
"80","Positif","as we continue to work from home you may be finding it difficult to perfect your work life balance   here are some things ",2
"81","Positif","the kansas city chiefs are going to the super bowl but without offensive guard laurent duvernay tardif  he took a year off fr ",0
"82","Positif","just buy the twats a bag of toy cars and let them work from home",1
"83","Positif","this is progress but for the people at home i hear from every day the work isn t done until the shot is in their arm w ",2
"84","Positif","   stay at home protect the nhs save lives      please follow government advice only travel for work if you cannot work ",3
"85","Positif","not going to lie this is the first thing i watched when i got home from work ",0
"86","Positif","hello welcome home from work thank you for joining us we need to fund this incredible project please and thank you",5
"87","Positif","this was waiting for me when i got home from work",1
"88","Positif","assemble it now for all our sakes so we can all go back to the office i say as i work at a hospital ",1
