"","text","score"
"1","when you get to work from home but they make you fill out a  work log  each day",2
"2","working from home living at the montrose gives you the space for that       what are your work from home essentials",1
"3","do you remember when commercial property owner s gameshow host hologram and anthropomorphic oil slick richard tice  ",1
"4","i ll try not to fall down the stairs on my way home from work",0
"5","work from home has became a new norm there has been a very few days at work since the start of pandemic still unc ",2
"6","today i learned that i can listen to the glee cover of all that jazz exactly times on repeat on my walk home from work",2
"7","it s snowing in oregon and there s already accidents in the city on my route home from work   ",1
"8","i m going to host a work from home party before i have to go back to work mimosas and twerk sessions between zoom calls",2
"9","for example a group made fun of george s death on national televisi ",0
"10","wow gauche meets gawky what a haphazard set of awful looking buildings it s like a construction w ",-2
"11","coming home from work amp cooking dinner feeling like a whole assss se ora",2
"12","great work on showcasing black businesses and telling the story of black people in jackson ms music is on ",2
"13","my husband just told me he has a crush on someone he met at work he s worked from home since march   ",1
"14","hello welcome home from work thank you for joining us we need to fund this incredible project please and thank you",5
"15","we have the same here there is no way i would be ordering from a non inspected kitchen one loca ",0
"16","as someone who has made bucks a day from doing degrading retail work at a part time job it is ",0
"17","i work in a huge supermarket no decent ppe and chaos ppl cough by pulling mask down and i hate it i ",0
"18","i reflexively texted my wife to head home from work to beat the snow traffic then i started manically refreshing t ",2
"19","failing to reach an agreement with chicago public schools over reopening conditions this week the chicago teachers union h ",-1
"20","hello welcome home from work thank you for joining us we need to fund this incredible project please and thank ",5
"21","madden and i talk on facetime when i m on my way home from work i live eight minutes away hahaha",0
"22","i want to share with you a few tips from my own work from home experience of over three years including the last y ",1
"23","one day ill come home from work before pm with the energy to draw one day",1
"24","was listening to on on the drive home from work tonight and i m now convinced he s the man to pi ",1
"25","that s because you aren t collecting the evidence   stan s dad picks up covid from work          gt     stan s dad gives stan covi ",1
"26","clueless from someone no doubt in a safe job on full pay working from home lockdown is a disgusting re ",-2
"27","honestly every time i remember this disability accommodated life isn t forever i get so anxious i stud ",-1
"28","wonder how many of us had a hidden desire to work from home instead of dealing with rush hour traffic m f",2
"29","there will be a lot of sad and hard times in the things that make us smile but as jisung said on your way home fr ",-1
"30","what a relief si dang gets to remain at home with his family amp community but much work needs to be done in making sure si  ",2
"31","was listening to on on the drive home from work tonight and i m now convinced he s the man t ",1
"32","silly sonia can work from home what about someone who can t  what if the only option is work or lose y ",0
"33","sooooo my sister who lives hours away and i just started training for the same work from home job amp we have bee ",1
"34","cracked my phone for the first time ever by dropping it onto my work from home laptop stand   i blame covid",-1
"35","it s like a dad coming home from work completely drained and exhausted but as soon as his son says dad ",0
"36","working from home is starting to fall apart top bankers warn",0
"37","ft microsoft shares surge to new high on work from home revenue boost",2
"38","the little things i m watching when my husband gets home from work",1
"39","cybereason offers a new take on protecting all those work from home laptops and phones",1
"40","thanks for letting me know that huskies are the worst dogs to have if you live in an apartment or work from home ",0
"41","get benefits check out the free home health aide trainings from our path to work provider the ",3
"42","the pandemic has shown that many jobs can be performed effectively at home meaning for many people remote work is here t ",2
"43","kelly hennessy np director of testing at ebnhc  we just knew that this pandemic would disproportionately impact our ",0
"44","on my snowy way home from work after a curve i come over a rise amp down a hill as soon as i make the curve i see ",1
"45","sadly many parents have to go to work but there s quite a few others working from home ta ",0
"46","i would say that you can t be outraged at non essential travel from political leaders and then also be outrag ",-1
"47","i was listening to this album on my way home from work   ",1
"48","my relatives in australia are living a pretty much normal life they spend days a week working from home now ",1
"49","something for your commute home or your move from one end of the couch to the other if you work from home the lates ",1
"50","a ray of hope for my friend jason williams and his family their home was destroyed in fultondale last night and they thought t ",0
"51","i did make it up in my head that did occur to me but i still think vax or not they ll still ",0
"52","parliament relaxed the rules regarding requiring evidence and ",1
"53","i smell like a giant grow op when i come home from work everyday no complaints   ",0
"54","it takes me minutes to get to and home from work today it took hours we left ",1
"55","feel like you re the right person for this  my husband just asked my daughter a junior at barnard to pla ",2
"56","i don t know but you ve been tweeting at once every minutes mph since i got home from work and i love you for it",2
"57","typical over the top reactions from some fans yes it s clear we need more investment on our squad ralph can only d ",3
"58","i am so jealous of people who can work from home",0
"59","is business casual not a thing any more i mean i have worn jeans to work for almost a year and there is a guy in ",0
"60","my dad always sat in the car for like a hour after getting home from work lmao i m just like him   ",3
"61","my sister on the phone with her ex husband i m not going out to dinner no more i m going wear my mask at work i m ",1
"62","my nieces being at my house when i get home from work is just a gentle reminder that one kid is enough for me  ",3
"63","there are of us working from home and struggling to also home school a year old i feel awful sayin ",-2
"64","came home from work to my dad grilling dinner in the garage my parents crack me up",0
"65","soba came charging at me when i got home from work    how am i supposed to be a douche bag now",1
"66","they don t tell you adulthood means eating slim jim s and reese s cups for dinner bc you re too lazy to cook when you get home from work",0
"67","i listen to a lot of music normally but since working from home i listen to it a good majority of the day and i ve ",1
"68","mhm   but they left because you were coming home from work",1
"69","ok but i legit listened to this on the way home from work",1
"70","overheard in virtual world adults w disabilities have been advocating for work from home options for y ",1
"71","me being sent home from work is great bc im too emo to move   ",2
"72","home from work how was your guys day w",1
"73","too late the teachers have never worked but now they ve tasted the ability to never work amp do it from home",2
"74","must say after hearing all the shite from the news and prime time etc not looking forward to the next few months ",0
"75","reading the comments brings back stories i heard from some of my friends yikes i was lucky took the metro home f ",1
"76","having been in level strict lockdown where you can literally just buy groceries and most work and things are from ",0
"77","how do we work from home or stop going to work and still paying the bills furlough  ",2
"78","how much do you pay for rent out of curiosity   how far from home do you ",0
"79","a company president discusses ways business owners should only pay ",0
"80","just a heads up when you get the second shot of the covid vaccine make sure you do not work the next day granted they d ",1
"81","home from work and that can only mean one thing time to smoke that amazing flower stay greened stay lifted        https  ",1
"82","boris johnson   january truly we did everything we could    august cease all this working at home ",0
"83"," we must find the strength to support our friends and neighbors while continuing to prevent the spread of covid by practici ",1
"84","afternoon walk with dad        carl just got home from work so he is still in his fire retardant pants       ",1
"85","just a heads up when you get the second shot of the covid vaccine make sure you do not work the next day granted ",1
"86","almost a year ago at the end of last january my favourite town car guy brought me home from the airpo ",0
"87","i drove home from work today and could not believe how horrible the road conditions still were th ",0
"88","how i come home from work at midnight and stand in the darkness as you sleep",0
"89","biggest migraine ever just home from work need to sleep hours gotta be up at am",1
"90","how has your office been augmented since first began since the pandemic many consumers have upgr ",0
"91","we all work from home so i m just re edited to be on camera for hours straight if i didn t have t ",1
"92","openings for part time work from home job",1
"93","awesome got back from a day of work and come home to realize that theres no internet because my mom removed it beca ",2
"94","i have some virus been tested for flu and covid both negative sunday night had a episode that featur ",-2
"95","that s like my saying we d lose over jobs over the next two years if i worked fro ",1
"96","i feel you ive been unemployed for months and no one wants to hire someone from another city or state ca ",-1
"97","my man flirts with me from the second i open my eyes to the second i shut them and it s increased since with both ",0
"98","from the front it takes more work at home to get to look like that without the same equipment only ",2
"99","i used to listen to music otw home from work but now that i commute i m a podcast shawty   ",1
"100","got home from work and had this out on the bed waiting for me   ",1
"101","truthfully i m grateful i don t have to go anywhere and can continue to work from home",3
"102","i ve been working from home for about years now and i love it i will admit it s differ ",1
"103","it was a good evening just got home from ",1
"104","home from work chilling with my feet up i want my foot sluts on their knees i want what s mine get in my dms    ",0
"105","rushing home from work like my guitar is a new puppy that needs to be let out and played with vibes",2
"106","to be honest pm would be ok with me in the work from home era   please don t report me to hr   ",2
"107","you are modelling that the privileged can go out for nonessential reasons on a photo op trip to the airport in ",1
"108","any chance you could travel my route home from work it s snowing and i have shitty tires",1
"109","i really want to work from home in jamaica this year two month ting hmmm hmmm",1
"110","i knew nwhl did the barstool hockey podcast just got home from work and what the fuck shit show did i miss",-2
"111","grandmother here my two are doing well but both parents are gainfully employed are earning at the ",2
"112","just get home from work",1
"113","this schooling from home idk how this gone work jack",1
"114","you re probably right and i think people who go to work amp people who work from home sometimes live in dif ",3
"115","al never forget that time one of our  mates  booked magaluf with us but come home after a day went to work and tol ",1
"116","what i expect to see tonight regardless of work from home",1
"117","we are offering free hearing health checks our clinics amp work practices have undergone a major change since the covid p ",2
"118","pm meeting canceled i can stay and work issues from my office but i ve eaten all my food until i get home for dinner bummer",0
"119","i agree with a lot of comments in this article working from home will be a supplement not a substitute to workin ",0
"120","what do you do when you re tasked with managing a ton of commercial real estate in the midst of year long lockdowns ",0
"121","i have a three year old and two year old twins we have been together at home all day every day for ",0
"122","i was excited about having a snow day tomorrow and not going to work but i work from home       ",3
"123","cyrus woke up before cal got home from work and didn t sleep the rest of the night",1
"124","work from home outfits",1
"125","normally on their evenings after work reece would head home and work on whatever assignments they needed or revie ",2
"126","hahah yeah it s not that bad  i m studying for university entrance exam so this job is really good for ",0
"127","all is possible",0
"128","i was told internet would be back by pm it s pm and still no internet it s two days now what a ",0
"129","to some degree remote work looks to be a part of future   survey of gt c level executives amp senior public ",1
"130","ten months on a small cohort of tailoring traditionalists still refuses to trade ties for t shirts  ",-1
"131","     he feels the                 arms slip warmly around his waist   crossing in front and pressing up from behind hi ",1
"132","the kansas city chiefs are going to the super bowl but without offensive guard laurent duvernay tardif  he took a year off fr ",0
"133","job fort wayne in usa agent broker work from home career make k yr to learn more snsem once you h to learn ",1
"134","damn even work from home is work really ain t no getting around this shit   ",0
"135","are you a critical worker or volunteer who can t work from home   rapid testing is open at hutton moor leisure centre  ",1
"136","home from work going to chill and pve a bit on sot o",0
"137","our office bag has all of our favorite things      sometimes working from home just doesn t cut it that s why we e ",1
"138","i get home from work at v me and see what s up",1
"139","i have been teaching virtually from home since march my third grade students need to see me model and ",0
"140","a useful work from home business will need your physical health try this good being concepts",3
"141","if it wasn t fir the percentage of people who need to work to live and can t work from home this wou ",2
"142","know the difference between people who value you and people exploiting your value if someone won t pay you for your hard wor ",0
"143","at this stage i m not even working from home i m just living at work",1
"144","       legit and affordable online courses to prepare you to work from home",2
"145","staley erdoes say remote work is starting to grate on staff bloomberg i think a compromise is needed how about ",0
"146","reminder spring isd will have an asynchronous learning day on wed jan all students will be learning from home includ ",0
"147","s o to all the companies that care for their employees enough to delay start or ask to work from home before a winter storm   ",1
"148","how is it possible that we ve been having internet issues for months had a tech here days ",-1
